物件名,アドレス,最寄り,築年/階,階,賃料/管理費,敷金/礼金,間取り/専有面積
エスペランサM,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩25分
東武野田線/新柏駅 歩43分
","
築19年
10階建
","
											9階","1. 賃料: 7万円
1. 管理費: 5500円
2. 賃料: 7.5万円
2. 管理費: 5500円
","1. 敷金: -
1. 礼金: 7万円
2. 敷金: -
2. 礼金: 5万円
","1. 1K
1. 30.6m2
2. 1K
2. 32.63m2
"
ＪＲ常磐線 柏駅 2階建 築17年,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩10分
東武野田線/柏駅 歩10分
ＪＲ常磐線/南柏駅 歩28分
","
築17年
2階建
","
											1階","1. 賃料: 4.5万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 21.18m2
"
ＪＲ常磐線 柏駅 3階建 築14年,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩24分
ＪＲ常磐線/南柏駅 歩45分
","
築14年
3階建
","
											2階","1. 賃料: 5.4万円
1. 管理費: 6500円
2. 賃料: 5.4万円
2. 管理費: 6500円
3. 賃料: 5.5万円
3. 管理費: 6500円
4. 賃料: 5.6万円
4. 管理費: 6500円
5. 賃料: 5.6万円
5. 管理費: 6500円
6. 賃料: 5.7万円
6. 管理費: 6500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: 5.6万円
5. 敷金: -
5. 礼金: -
6. 敷金: -
6. 礼金: -
","1. 1K
1. 19.87m2
2. 1K
2. 19.87m2
3. 1K
3. 19.87m2
4. 1K
4. 19.87m2
5. 1K
5. 19.87m2
6. 1K
6. 19.87m2
"
オークヒルズ濱嶋,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
東武野田線/柏駅 歩7分
None
","
築21年
8階建
","
											7階","1. 賃料: 5.7万円
1. 管理費: 8000円
2. 賃料: 5.7万円
2. 管理費: 8000円
3. 賃料: 5.8万円
3. 管理費: 8000円
","1. 敷金: 5.7万円
1. 礼金: -
2. 敷金: 5.7万円
2. 礼金: -
3. 敷金: 5.8万円
3. 礼金: -
","1. 1K
1. 21.3m2
2. 1K
2. 21.3m2
3. 1K
3. 21.3m2
"
プリエール,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩10分
つくばエクスプレス/柏の葉キャンパス駅 歩54分
つくばエクスプレス/流山おおたかの森駅 歩66分
","
築18年
3階建
","
											2階","1. 賃料: 5.8万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 24.2m2
"
ＪＲ常磐線 柏駅 4階建 築19年,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 車7分(2.4km)
東武野田線/豊四季駅 車11分(3.4km)
","
築19年
4階建
","
											3階","1. 賃料: 6.5万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 27m2
"
ザ・ネモト,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩4分
None
None
","
築21年
4階建
","
											4階","1. 賃料: 6.1万円
1. 管理費: 10500円
2. 賃料: 6.2万円
2. 管理費: 10500円
3. 賃料: 6.6万円
3. 管理費: 10500円
4. 賃料: 6.7万円
4. 管理費: 10500円
5. 賃料: 7.1万円
5. 管理費: 10500円
6. 賃料: 7.2万円
6. 管理費: 10500円
","1. 敷金: -
1. 礼金: 6.1万円
2. 敷金: -
2. 礼金: 6.2万円
3. 敷金: -
3. 礼金: 6.6万円
4. 敷金: -
4. 礼金: 6.7万円
5. 敷金: -
5. 礼金: 7.1万円
6. 敷金: -
6. 礼金: 7.2万円
","1. 1K
1. 21.58m2
2. 1K
2. 21.58m2
3. 1K
3. 21.58m2
4. 1K
4. 21.58m2
5. 1K
5. 21.58m2
6. 1K
6. 21.58m2
"
ＪＲ常磐線 柏駅 4階建 築12年,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/北柏駅 歩20分
東武野田線/豊四季駅 歩51分
","
築12年
4階建
","
											2階","1. 賃料: 4.3万円
1. 管理費: 6500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.87m2
"
Angel 柏,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩13分
東武野田線/柏駅 歩13分
ＪＲ常磐線/北柏駅 歩18分
","
築12年
4階建
","
											3階","1. 賃料: 4.3万円
1. 管理費: 6500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.87m2
"
ＪＲ常磐線 柏駅 5階建 築18年,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩7分
None
None
","
築18年
5階建
","
											4階","1. 賃料: 9.2万円
1. 管理費: 8500円
2. 賃料: 9.5万円
2. 管理費: 8500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1LDK
1. 43.19m2
2. 2DK
2. 45.74m2
"
ＪＲ常磐線 柏駅 10階建 築18年,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩24分
ＪＲ常磐線/南柏駅 車14分(3.2km)
","
築18年
10階建
","
											9階","1. 賃料: 7万円
1. 管理費: 5500円
2. 賃料: 7.5万円
2. 管理費: 5500円
","1. 敷金: -
1. 礼金: 7万円
2. 敷金: -
2. 礼金: 5万円
","1. 1K
1. 30.6m2
2. 1K
2. 32.63m2
"
Ｓ－ＦＯＲＴ柏,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/南柏駅 歩35分
つくばエクスプレス/流山おおたかの森駅 歩60分
","
築17年
10階建
","
											3階","1. 賃料: 7.2万円
1. 管理費: 5000円
","1. 敷金: 7.2万円
1. 礼金: -
","1. 1K
1. 25.19m2
"
柏の丘,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩22分
ＪＲ常磐線/南柏駅 歩45分
","
築14年
3階建
","
											3階","1. 賃料: 5.4万円
1. 管理費: 6500円
2. 賃料: 5.6万円
2. 管理費: 6500円
3. 賃料: 5.6万円
3. 管理費: 6500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: 5.6万円
","1. 1K
1. 19.87m2
2. 1K
2. 19.87m2
3. 1K
3. 19.87m2
"
ＪＲ常磐線 柏駅 8階建 築21年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
None
None
","
築21年
8階建
","
											3階","1. 賃料: 6.5万円
1. 管理費: 10500円
","1. 敷金: -
1. 礼金: 6.5万円
","1. 1K
1. 21.68m2
"
セナリオフォルム柏,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩6分
東武野田線/豊四季駅 歩33分
ＪＲ常磐線/南柏駅 歩29分
","
築19年
4階建
","
											2階","1. 賃料: 6.6万円
1. 管理費: 3500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 27.89m2
"
パルティールトスト,千葉県柏市柏４,"ＪＲ常磐線/柏駅 歩3分
ＪＲ常磐線/北柏駅 歩28分
東武野田線/豊四季駅 歩45分
","
築23年
7階建
","
											4階","1. 賃料: 10.8万円
1. 管理費: 10000円
","1. 敷金: -
1. 礼金: -
","1. 1LDK
1. 51.6m2
"
ＪＲ常磐線 柏駅 11階建 築21年,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩4分
東武野田線/柏駅 歩4分
ＪＲ常磐線/北柏駅 歩30分
","
築21年
11階建
","
											8階","1. 賃料: 6.6万円
1. 管理費: 7000円
2. 賃料: 6.9万円
2. 管理費: 7000円
","1. 敷金: 6.6万円
1. 礼金: -
2. 敷金: 6.9万円
2. 礼金: -
","1. 1K
1. 25.95m2
2. 1K
2. 25.95m2
"
ＪＲ常磐線 柏駅 4階建 築21年,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩3分
ＪＲ常磐線/北柏駅 歩33分
東武野田線/新柏駅 歩45分
","
築21年
4階建
","
											4階","1. 賃料: 6.1万円
1. 管理費: 10500円
2. 賃料: 6.2万円
2. 管理費: 10500円
3. 賃料: 6.6万円
3. 管理費: 10500円
4. 賃料: 6.7万円
4. 管理費: 10500円
5. 賃料: 7.1万円
5. 管理費: 10500円
6. 賃料: 7.2万円
6. 管理費: 10500円
","1. 敷金: -
1. 礼金: 6.1万円
2. 敷金: -
2. 礼金: 6.2万円
3. 敷金: -
3. 礼金: 6.6万円
4. 敷金: -
4. 礼金: 6.7万円
5. 敷金: -
5. 礼金: 7.1万円
6. 敷金: -
6. 礼金: 7.2万円
","1. 1K
1. 21.58m2
2. 1K
2. 21.58m2
3. 1K
3. 21.58m2
4. 1K
4. 21.58m2
5. 1K
5. 21.58m2
6. 1K
6. 21.58m2
"
ＪＲ常磐線 柏駅 6階建 築20年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩30分
","
築20年
6階建
","
											5階","1. 賃料: 7.2万円
1. 管理費: 5000円
","1. 敷金: 7.2万円
1. 礼金: -
","1. 1K
1. 34.04m2
"
柏808タワー,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
東武野田線/柏駅 歩6分
ＪＲ常磐線/南柏駅 歩58分
","
築16年
10階建
","
											3階","1. 賃料: 7.4万円
1. 管理費: 6000円
2. 賃料: 7.4万円
2. 管理費: 6000円
3. 賃料: 7.4万円
3. 管理費: 6000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
","1. 1K
1. 25.06m2
2. 1K
2. 25.76m2
3. 1K
3. 25.06m2
"
プレザントハウス,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩10分
東武野田線/柏駅 歩10分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩10分
","
築15年
2階建
","
											2階","1. 賃料: 5.7万円
1. 管理費: 3000円
","1. 敷金: 5.7万円
1. 礼金: 2.85万円
","1. 1K
1. 26.19m2
"
レオパレスあけぼの,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩8分
None
None
","
築15年
4階建
","
											2階","1. 賃料: 5.6万円
1. 管理費: 6500円
2. 賃料: 5.8万円
2. 管理費: 6500円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 19.87m2
2. 1K
2. 19.87m2
"
ＪＲ常磐線 柏駅 3階建 築18年,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩8分
None
None
","
築18年
3階建
","
											1階","1. 賃料: 5.8万円
1. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 26.03m2
"
ＳＴ．ＰＡＬＥＴＴＥ５７＋,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩29分
None
","
築15年
8階建
","
											5階","1. 賃料: 6.6万円
1. 管理費: 5000円
2. 賃料: 11.4万円
2. 管理費: 8000円
3. 賃料: 11.5万円
3. 管理費: 8000円
4. 賃料: 11.5万円
4. 管理費: 8000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
","1. 1K
1. 29.7m2
2. 2LDK
2. 60.3m2
3. 2LDK
3. 60.3m2
4. 2LDK
4. 60.3m2
"
ＪＲ常磐線 柏駅 7階建 築19年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩32分
","
築19年
7階建
","
											3階","1. 賃料: 6.4万円
1. 管理費: 6000円
","1. 敷金: 6.4万円
1. 礼金: -
","1. 1K
1. 27.98m2
"
ＪＲ常磐線 柏駅 3階建 築14年,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/柏駅 歩9分
東武野田線/柏駅 歩9分
","
築14年
3階建
","
											2階","1. 賃料: 6.1万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 25.33m2
"
レオパレスＨＩＲＯ,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩8分
None
None
","
築14年
4階建
","
											2階","1. 賃料: 4.9万円
1. 管理費: 6500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.87m2
"
ＪＲ常磐線 柏駅 6階建 築15年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/北柏駅 車10分(3.1km)
ＪＲ常磐線/南柏駅 車12分(3.0km)
","
築15年
6階建
","
											2階","1. 賃料: 6.6万円
1. 管理費: 6000円
","1. 敷金: -
1. 礼金: 6.6万円
","1. 1DK
1. 29.49m2
"
ＪＲ常磐線 柏駅 2階建 築4年,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩20分
東武野田線/柏駅 歩20分
ＪＲ常磐線/北柏駅 歩13分
","
築4年
2階建
","
											1階","1. 賃料: 3.9万円
1. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20.01m2
"
ＪＲ常磐線 柏駅 4階建 築15年,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/北柏駅 歩28分
ＪＲ常磐線/南柏駅 車13分(3.4km)
","
築15年
4階建
","
											2階","1. 賃料: 5.6万円
1. 管理費: 6500円
2. 賃料: 5.6万円
2. 管理費: 6500円
3. 賃料: 5.8万円
3. 管理費: 6500円
4. 賃料: 5.8万円
4. 管理費: 6500円
","1. 敷金: -
1. 礼金: 5.6万円
2. 敷金: -
2. 礼金: 5.6万円
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
","1. 1K
1. 19.87m2
2. 1K
2. 19.87m2
3. 1K
3. 19.87m2
4. 1K
4. 19.87m2
"
ＪＲ常磐線 柏駅 2階建 築8年,千葉県柏市旭町５,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩24分
東武野田線/新柏駅 車15分(3.9km)
","
築8年
2階建
","
											1階","1. 賃料: 5.8万円
1. 管理費: 4500円
","1. 敷金: -
1. 礼金: 2.9万円
","1. ワンルーム
1. 26.82m2
"
フェリーチェ柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/南柏駅 歩27分
None
","
築16年
3階建
","
											3階","1. 賃料: 5.9万円
1. 管理費: 3500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 25.73m2
"
レオパレスエムズ柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩8分
None
None
","
築14年
4階建
","
											3階","1. 賃料: 5.9万円
1. 管理費: 6500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.87m2
"
アルシェ柏,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩3分
None
None
","
築21年
11階建
","
											8階","1. 賃料: 6.9万円
1. 管理費: 7000円
","1. 敷金: 6.9万円
1. 礼金: -
","1. 1K
1. 25.95m2
"
クレール柏,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩34分
つくばエクスプレス/流山おおたかの森駅 歩60分
","
築15年
6階建
","
											2階","1. 賃料: 6.6万円
1. 管理費: 6000円
","1. 敷金: -
1. 礼金: 6.6万円
","1. 1DK
1. 29.49m2
"
ＪＲ常磐線 柏駅 10階建 築16年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/柏駅 歩6分
東武野田線/柏駅 歩6分
","
築16年
10階建
","
											2階","1. 賃料: 7.4万円
1. 管理費: 6000円
2. 賃料: 7.4万円
2. 管理費: 6000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 25.06m2
2. 1K
2. 25.06m2
"
ＪＲ常磐線 柏駅 4階建 築14年,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩8分
None
None
","
築14年
4階建
","
											2階","1. 賃料: 4.9万円
1. 管理費: 6500円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.87m2
"
ＪＲ常磐線 柏駅 4階建 築14年,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/南柏駅 歩29分
東武野田線/新柏駅 歩40分
","
築14年
4階建
","
											3階","1. 賃料: 5.9万円
1. 管理費: 6500円
","1. 敷金: -
1. 礼金: 2.95万円
","1. 1K
1. 19.87m2
"
エスペランサＭ,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩6分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)西口駅前 歩6分
ＪＲ常磐線/南柏駅 バス12分 (バス停)柏駅 歩6分
","
築18年
10階建
","
											9階","1. 賃料: 7.5万円
1. 管理費: 5500円
","1. 敷金: -
1. 礼金: 5万円
","1. 1K
1. 32.63m2
"
Ｓｕｎｓｈｉｎｅ Ｈｉｌｌｓ,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩3分
東武野田線/柏駅 歩3分
None
","
築17年
7階建
","
											4階","1. 賃料: 7.35万円
1. 管理費: 6500円
","1. 敷金: -
1. 礼金: 7.35万円
","1. 1K
1. 28.25m2
"
柏808タワー,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩25分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩6分
","
築16年
10階建
","
											5階","1. 賃料: 7.4万円
1. 管理費: 6000円
2. 賃料: 7.4万円
2. 管理費: 6000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 25.06m2
2. 1K
2. 25.06m2
"
レオネクストティエラ,千葉県柏市旭町５,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩24分
東武野田線/新柏駅 歩37分
","
築8年
2階建
","
											1階","1. 賃料: 5.8万円
1. 管理費: 4500円
","1. 敷金: -
1. 礼金: -
","1. ワンルーム
1. 26.82m2
"
セナリオフォルム柏VII,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩23分
ＪＲ常磐線/南柏駅 歩45分
","
築11年
4階建
","
											1階","1. 賃料: 6万円
1. 管理費: 5000円
","1. 敷金: 6万円
1. 礼金: -
","1. 1K
1. 25.2m2
"
ＪＲ常磐線 柏駅 7階建 築17年,千葉県柏市旭町１,"ＪＲ常磐線/柏駅 歩3分
つくばエクスプレス/流山おおたかの森駅 車14分(4.0km)
東武野田線/柏駅 歩3分
","
築17年
7階建
","
											4階","1. 賃料: 7.35万円
1. 管理費: 6500円
","1. 敷金: -
1. 礼金: 7.35万円
","1. 1K
1. 28.25m2
"
レジデンシャルスター柏,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩4分
東武野田線/柏駅 歩4分
None
","
築15年
7階建
","
											7階","1. 賃料: 9万円
1. 管理費: 5000円
","1. 敷金: 9万円
1. 礼金: 9万円
","1. 1LDK
1. 34.37m2
"
かじかわ,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩4分
ＪＲ常磐線/南柏駅 歩38分
つくばエクスプレス/流山おおたかの森駅 歩58分
","
築18年
5階建
","
											4階","1. 賃料: 6.9万円
1. 管理費: 6000円
2. 賃料: 7.1万円
2. 管理費: 6000円
","1. 敷金: -
1. 礼金: 6.9万円
2. 敷金: -
2. 礼金: 7.1万円
","1. ワンルーム
1. 28.17m2
2. ワンルーム
2. 28.17m2
"
ＪＲ常磐線 柏駅 2階建 築5年,千葉県柏市旭町７,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩27分
東武野田線/豊四季駅 歩27分
","
築5年
2階建
","
											1階","1. 賃料: 5.7万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. ワンルーム
1. 20.36m2
"
ＪＲ常磐線 柏駅 4階建 築11年,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩10分
東武野田線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩22分
","
築11年
4階建
","
											1階","1. 賃料: 6万円
1. 管理費: 5000円
","1. 敷金: 6万円
1. 礼金: -
","1. 1K
1. 25.2m2
"
GRANDTIC柏,千葉県柏市旭町５,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩19分
None
","
築7年
2階建
","
											2階","1. 賃料: 7.2万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: 7.2万円
","1. 1LDK
1. 30.68m2
"
ＪＲ常磐線 柏駅 2階建 築7年,千葉県柏市旭町５,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩21分
None
","
築7年
2階建
","
											2階","1. 賃料: 7.2万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: 7.2万円
","1. 1LDK
1. 30.68m2
"
リブリ・フェリス　エム,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/北柏駅 歩26分
東武野田線/豊四季駅 歩44分
","
築4年
2階建
","
											1階","1. 賃料: 5.8万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: 2.9万円
","1. 1K
1. 26.08m2
"
ＪＲ常磐線 柏駅 11階建 築11年,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩4分
ＪＲ常磐線/柏駅 歩4分
東武野田線/柏駅 歩4分
","
築11年
11階建
","
											3階","1. 賃料: 7.6万円
1. 管理費: 4000円
2. 賃料: 7.8万円
2. 管理費: 4000円
3. 賃料: 10.9万円
3. 管理費: 6000円
","1. 敷金: 7.6万円
1. 礼金: 7.6万円
2. 敷金: 7.8万円
2. 礼金: 7.8万円
3. 敷金: 10.9万円
3. 礼金: 10.9万円
","1. 1K
1. 25.77m2
2. 1K
2. 25.77m2
3. 1LDK
3. 43.61m2
"
ＪＲ常磐線 柏駅 2階建 築5年,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/柏駅 歩12分
東武野田線/柏駅 歩12分
","
築5年
2階建
","
											1階","1. 賃料: 6万円
1. 管理費: 2000円
2. 賃料: 6万円
2. 管理費: 2000円
","1. 敷金: -
1. 礼金: 6万円
2. 敷金: -
2. 礼金: 6万円
","1. 1K
1. 26.49m2
2. 1K
2. 26.49m2
"
フラット柏,千葉県柏市あけぼの５,"ＪＲ常磐線/柏駅 歩11分
ＪＲ常磐線/北柏駅 車9分(2.4km)
つくばエクスプレス/柏の葉キャンパス駅 車14分(4.0km)
","
築6年
3階建
","
											1階","1. 賃料: 6.2万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: 6.2万円
","1. 1K
1. 26.7m2
"
プリマベーラ,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩6分
東武野田線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩25分
","
築14年
2階建
","
											1階","1. 賃料: 9万円
1. 管理費: 4000円
","1. 敷金: 9万円
1. 礼金: -
","1. 1LDK
1. 41.58m2
"
パンタシア,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩3分
東武野田線/柏駅 歩3分
None
","
築12年
2階建
","
											1-2階","1. 賃料: 8.8万円
1. 管理費: 3000円
","1. 敷金: 17.6万円
1. 礼金: 8.8万円
","1. 2DK
1. 49.68m2
"
ザ・カシワ拾番,千葉県柏市柏２,"ＪＲ常磐線/柏駅 歩4分
ＪＲ常磐線/北柏駅 歩30分
東武野田線/新柏駅 バス19分 (バス停)柏神社 歩1分
","
築11年
11階建
","
											3階","1. 賃料: 7.6万円
1. 管理費: 4000円
2. 賃料: 7.8万円
2. 管理費: 4000円
3. 賃料: 10.9万円
3. 管理費: 6000円
","1. 敷金: 7.6万円
1. 礼金: 7.6万円
2. 敷金: 7.8万円
2. 礼金: 7.8万円
3. 敷金: 10.9万円
3. 礼金: 10.9万円
","1. 1K
1. 25.77m2
2. 1K
2. 25.77m2
3. 1LDK
3. 43.61m2
"
ライゼストフロレスタ,千葉県柏市旭町７,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩28分
東武野田線/豊四季駅 歩28分
","
築5年
2階建
","
											1階","1. 賃料: 5.7万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. ワンルーム
1. 20.36m2
"
アステールピュールＳ,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩11分
つくばエクスプレス/流山おおたかの森駅 歩70分
東武野田線/豊四季駅 歩50分
","
築6年
2階建
","
											1階","1. 賃料: 7.9万円
1. 管理費: 3500円
","1. 敷金: -
1. 礼金: 7.9万円
","1. ワンルーム
1. 30.73m2
"
ミルーナヒルズ柏,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/北柏駅 歩21分
ＪＲ常磐線/我孫子駅 車10分(4.2km)
","
築3年
7階建
","
											6階","1. 賃料: 11.6万円
1. 管理費: 10000円
","1. 敷金: 11.6万円
1. 礼金: 11.6万円
","1. 1LDK
1. 40.54m2
"
ヴィラトレイユ,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/柏駅 歩12分
東武野田線/柏駅 歩12分
","
築5年
2階建
","
											2階","1. 賃料: 5.8万円
1. 管理費: 2000円
2. 賃料: 6万円
2. 管理費: 2000円
","1. 敷金: -
1. 礼金: 5.8万円
2. 敷金: -
2. 礼金: 6万円
","1. 1K
1. 26.49m2
2. 1K
2. 26.49m2
"
ＪＲ常磐線 柏駅 2階建 築4年,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/北柏駅 歩26分
東武野田線/豊四季駅 歩30分
","
築4年
2階建
","
											1階","1. 賃料: 5.8万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: 2.9万円
","1. 1K
1. 26.06m2
"
プロシード柏トロワ,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩30分
","
築13年
7階建
","
											3階","1. 賃料: 7.4万円
1. 管理費: 7000円
","1. 敷金: 7.4万円
1. 礼金: 7.4万円
","1. 1K
1. 28m2
"
ＪＲ常磐線 柏駅 3階建 築6年,千葉県柏市あけぼの５,"ＪＲ常磐線/柏駅 歩11分
ＪＲ常磐線/北柏駅 歩28分
つくばエクスプレス/柏の葉キャンパス駅 車10分(4.0km)
","
築6年
3階建
","
											1階","1. 賃料: 6.2万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: 6.2万円
","1. 1K
1. 26.7m2
"
ＪＲ常磐線 柏駅 7階建 築3年,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/北柏駅 歩22分
ＪＲ常磐線/我孫子駅 車10分(4.2km)
","
築3年
7階建
","
											6階","1. 賃料: 11.6万円
1. 管理費: 10000円
","1. 敷金: 11.6万円
1. 礼金: 11.6万円
","1. 1LDK
1. 40.54m2
"
グリュック柏,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩13分
東武野田線/柏駅 歩12分
None
","
築4年
2階建
","
											1階","1. 賃料: 7.8万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: 7.8万円
","1. 1LDK
1. 38.87m2
"
ラ・ソレイユ,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩30分
","
築12年
7階建
","
											3階","1. 賃料: 7.5万円
1. 管理費: 7000円
","1. 敷金: 7.5万円
1. 礼金: 7.5万円
","1. 1K
1. 29.25m2
"
